,Date,Auto Vehicles,Auto Financing,Automotive Industry,Auto Insurance,Vehicle Brands,Vehicle Shopping,Computers & Electronics,Consumer Electronics,Home Appliances,Home Financing,Home Furnishing,Home & Garden,Home Improvement,Home Insurance,Homemaking & Interior Decor,Book retailers,Arts & Entertainment,Entertainment Industry,Movies,Computer & Video Games,Mobile & Wireless,Internet & Telecom
0,2004-01,91,87,77,89,94,83,100,88,94,86,100,90,90,89,96,100,97,99,95,99,80,100
1,2004-02,94,95,86,85,96,84,96,75,84,87,93,90,87,90,80,69,97,100,93,95,83,98
2,2004-03,92,98,78,80,96,86,90,76,83,100,90,91,91,88,73,63,96,80,89,87,76,90
3,2004-04,96,97,79,86,99,85,93,73,83,93,89,97,92,89,69,64,97,69,95,83,78,97
4,2004-05,93,95,72,85,91,90,86,74,81,84,85,97,89,88,69,60,93,65,87,87,78,91
5,2004-06,94,81,68,91,92,84,89,75,81,86,87,98,92,91,68,65,89,62,91,85,83,94
6,2004-07,98,100,64,98,98,90,87,75,89,86,96,100,94,95,80,64,92,74,91,89,84,98
7,2004-08,96,92,65,100,94,86,94,76,85,86,97,97,91,93,79,70,91,68,91,89,87,99
8,2004-09,86,88,67,88,86,79,87,73,81,77,88,91,85,87,81,66,88,65,82,81,82,97
9,2004-10,81,83,66,81,85,75,83,73,82,71,84,83,84,88,70,62,92,59,91,84,78,92
10,2004-11,78,81,66,74,81,73,85,86,91,71,95,86,80,79,79,62,90,61,91,96,81,92
11,2004-12,81,84,59,78,85,72,90,98,100,67,93,90,81,80,82,75,100,60,91,100,89,100
12,2005-01,79,86,66,85,82,79,85,81,84,79,95,87,86,86,87,65,94,81,89,85,82,97
13,2005-02,83,88,72,81,89,77,82,71,82,83,87,85,87,89,84,60,96,100,87,73,80,94
14,2005-03,92,93,74,83,86,81,80,70,79,80,83,81,83,83,74,49,92,64,89,78,77,90
15,2005-04,85,89,72,76,86,79,71,66,76,78,78,90,86,86,67,57,92,55,87,76,74,87
16,2005-05,83,83,78,79,86,76,75,71,77,83,77,88,83,84,69,54,97,60,92,79,76,90
17,2005-06,87,88,63,86,85,79,74,70,76,97,76,90,90,89,67,54,87,56,84,77,83,92
18,2005-07,100,96,63,86,94,86,72,73,82,88,86,93,93,96,71,60,91,65,91,85,84,93
19,2005-08,93,100,72,92,97,100,79,74,84,96,90,98,93,100,79,64,92,61,89,80,93,100
20,2005-09,80,84,56,84,81,81,70,70,75,75,77,82,86,89,70,55,91,62,77,70,81,95
21,2005-10,77,70,71,73,78,71,71,68,78,72,78,83,84,95,71,48,90,55,85,76,75,99
22,2005-11,73,76,76,68,74,66,72,86,84,67,81,81,81,85,73,52,91,54,84,85,76,85
23,2005-12,74,74,64,71,79,67,79,100,93,65,81,82,83,89,77,80,97,62,100,92,89,94
24,2006-01,74,87,80,78,80,71,73,77,78,78,86,84,84,92,100,62,93,77,86,72,85,90
25,2006-02,77,84,66,73,77,71,70,65,73,75,79,82,78,90,80,47,91,76,83,71,81,92
26,2006-03,76,91,67,77,78,74,67,63,70,78,76,80,78,87,68,45,88,77,81,70,76,86
27,2006-04,79,90,66,72,81,82,61,60,68,77,67,85,82,96,65,42,88,54,81,71,76,83
28,2006-05,77,84,54,74,80,74,59,57,68,77,70,79,80,91,61,47,87,51,77,68,76,79
29,2006-06,81,90,50,81,78,77,62,63,68,77,72,86,81,99,65,47,88,50,81,76,85,87
30,2006-07,92,99,53,85,86,89,65,67,79,79,80,88,92,99,69,47,86,57,87,80,86,87
31,2006-08,83,96,51,86,85,81,66,65,75,80,78,83,83,91,73,62,89,60,82,75,85,96
32,2006-09,71,80,61,73,76,72,62,60,71,68,74,77,77,79,68,56,84,49,76,67,80,91
33,2006-10,70,79,50,72,71,66,62,61,72,69,79,76,77,90,64,45,86,48,83,72,76,85
34,2006-11,67,72,47,67,68,62,64,78,81,63,76,77,73,87,66,46,88,46,80,89,75,83
35,2006-12,64,74,45,67,67,61,67,91,85,64,73,73,71,85,70,67,93,50,87,96,82,94
36,2007-01,70,88,51,75,68,68,61,65,77,79,78,76,75,80,81,57,82,73,80,76,82,86
37,2007-02,69,85,57,71,69,69,60,58,70,74,77,74,72,85,72,45,94,84,78,71,77,84
38,2007-03,72,87,50,72,71,70,58,55,65,80,71,75,74,80,61,43,85,48,79,69,72,81
39,2007-04,76,91,52,68,73,75,56,58,63,79,70,76,75,84,60,43,86,46,74,71,74,81
40,2007-05,67,83,49,72,74,72,53,54,66,68,64,72,74,74,55,43,82,41,72,70,70,78
41,2007-06,70,81,46,69,67,66,54,56,64,71,61,74,72,78,54,44,80,44,72,73,83,81
42,2007-07,77,83,41,72,74,70,56,54,68,75,69,76,76,80,60,50,86,44,82,78,82,87
43,2007-08,71,87,44,72,73,72,58,57,70,79,70,73,72,75,63,54,86,44,80,73,78,86
44,2007-09,66,74,61,64,69,63,53,55,65,68,66,67,65,70,63,49,83,59,73,68,75,82
45,2007-10,63,75,52,63,63,58,52,53,64,62,62,66,65,68,57,42,83,43,77,73,74,80
46,2007-11,57,70,44,56,61,57,56,69,74,57,65,66,66,66,60,42,84,46,73,82,76,78
47,2007-12,59,70,39,54,61,55,60,78,83,55,65,67,61,69,60,60,82,46,87,95,81,86
48,2008-01,62,82,48,68,62,61,55,62,68,84,68,66,65,65,73,51,81,55,89,78,77,79
49,2008-02,61,81,47,61,63,60,54,53,58,76,63,63,61,63,64,42,81,68,79,73,70,77
50,2008-03,61,77,49,57,63,63,52,48,60,77,63,63,64,66,57,39,74,41,71,72,64,75
51,2008-04,62,81,53,60,65,64,48,49,60,70,57,66,64,61,59,38,79,40,71,68,67,76
52,2008-05,67,78,46,58,64,68,48,50,58,62,53,65,64,60,52,37,80,40,73,72,68,76
53,2008-06,67,79,42,59,61,64,48,49,57,60,52,64,65,63,52,40,74,40,71,70,81,79
54,2008-07,66,76,52,60,62,62,47,48,59,64,55,64,66,67,56,41,81,40,78,70,86,83
55,2008-08,64,73,40,57,61,59,49,50,58,60,56,63,62,63,55,46,76,38,75,67,82,83
56,2008-09,56,67,44,55,55,53,47,43,55,64,52,57,59,60,50,39,73,42,65,64,75,81
57,2008-10,54,66,75,52,54,52,44,45,54,62,49,53,57,62,48,33,76,38,71,66,77,83
58,2008-11,48,57,97,42,47,49,46,51,59,49,52,55,53,53,49,34,69,34,75,72,78,77
59,2008-12,52,63,100,48,48,49,51,63,65,73,51,54,53,56,49,47,76,37,80,80,81,82
60,2009-01,49,67,50,53,50,52,44,48,57,77,52,55,51,59,60,41,73,49,75,67,71,76
61,2009-02,49,70,56,49,49,51,44,42,50,72,48,50,52,57,50,32,74,66,69,65,69,76
62,2009-03,51,68,59,52,52,50,43,39,51,80,47,52,52,55,43,31,70,38,68,64,69,77
63,2009-04,54,67,67,51,53,48,43,40,52,70,43,55,52,58,42,30,72,34,69,59,67,75
64,2009-05,53,59,67,46,51,48,39,36,48,56,43,55,50,51,42,29,69,31,64,58,61,75
65,2009-06,53,59,66,48,50,48,38,37,49,56,42,54,53,58,41,30,66,32,64,59,77,76
66,2009-07,52,61,43,48,52,52,38,37,48,52,44,52,52,58,41,31,68,32,65,62,72,76
67,2009-08,55,61,40,49,54,54,40,39,50,51,47,52,52,61,45,36,69,34,64,58,72,77
68,2009-09,47,52,35,45,46,42,38,35,48,46,43,49,48,57,43,31,68,43,57,49,71,73
69,2009-10,44,52,34,42,43,40,38,37,50,43,43,46,48,56,40,26,65,31,63,56,69,75
70,2009-11,45,48,32,40,42,40,39,41,55,40,44,47,45,49,42,28,69,31,62,58,71,71
71,2009-12,42,47,29,40,41,41,40,45,55,37,43,44,42,52,40,37,69,31,69,63,70,74
72,2010-01,45,56,35,41,44,43,38,36,50,42,44,45,45,54,51,32,62,43,60,56,67,70
73,2010-02,44,56,35,43,47,45,37,36,50,41,44,46,44,52,48,27,64,51,60,55,63,71
74,2010-03,47,58,34,43,45,45,37,32,46,41,40,47,44,58,39,24,60,50,58,53,62,71
75,2010-04,48,55,37,43,47,46,37,33,47,42,39,49,45,55,37,24,62,32,59,49,66,72
76,2010-05,45,49,29,40,44,42,33,31,44,35,39,49,44,51,40,25,62,30,56,52,66,69
77,2010-06,45,50,27,41,42,40,34,32,46,39,36,48,46,54,38,25,62,30,56,51,76,74
78,2010-07,50,55,29,46,49,47,35,35,48,44,40,49,49,57,39,28,67,32,63,54,100,86
79,2010-08,49,55,32,48,50,46,36,33,48,47,41,49,47,58,42,35,66,39,62,52,99,87
80,2010-09,47,51,29,43,48,44,36,33,43,42,39,42,43,55,42,29,61,35,60,49,87,81
81,2010-10,43,53,28,39,44,39,33,31,42,41,38,43,42,52,41,25,62,29,59,48,85,79
82,2010-11,41,45,37,38,43,39,36,38,48,40,41,45,43,51,43,28,62,30,58,51,84,75
83,2010-12,40,45,26,38,41,40,37,45,53,39,37,44,40,48,39,39,62,31,63,55,88,77
84,2011-01,52,61,28,50,53,49,41,41,58,49,54,55,51,61,68,37,71,55,69,56,88,85
85,2011-02,53,62,29,51,55,54,37,36,51,50,50,53,51,59,54,30,68,75,70,52,90,86
86,2011-03,60,65,32,54,57,56,39,37,51,54,48,54,52,59,44,27,70,42,66,53,87,83
87,2011-04,57,65,33,54,58,54,38,37,52,51,47,59,55,61,44,27,69,37,71,57,83,80
88,2011-05,56,56,30,50,55,52,35,38,49,52,44,59,57,59,43,29,70,35,68,53,80,79
89,2011-06,54,65,29,54,56,51,35,36,51,55,45,56,58,63,44,28,69,38,67,57,83,81
90,2011-07,58,63,28,53,59,52,36,35,53,55,48,59,58,63,46,29,72,38,73,56,84,83
91,2011-08,60,63,28,54,59,51,38,36,53,65,48,58,56,65,51,35,69,42,75,54,85,84
92,2011-09,51,60,30,50,55,45,36,34,50,58,50,54,56,59,49,27,69,40,69,50,87,82
93,2011-10,51,54,29,48,53,52,37,34,50,61,47,52,54,57,47,24,70,35,71,50,94,84
94,2011-11,50,52,27,46,52,48,38,42,62,55,51,56,53,52,49,25,71,36,72,53,81,76
95,2011-12,51,54,25,45,53,49,41,48,64,58,51,58,52,54,50,37,74,37,77,56,88,87
96,2012-01,52,60,26,50,53,51,36,37,55,65,53,56,53,56,64,29,71,50,73,49,79,80
97,2012-02,55,59,30,51,56,55,35,34,50,66,52,55,52,53,56,23,75,74,70,46,74,79
98,2012-03,59,60,26,50,56,53,34,33,48,63,49,56,55,53,48,24,68,38,68,46,74,74
99,2012-04,55,60,31,51,57,50,34,35,52,63,48,59,56,58,51,23,68,38,69,47,71,81
100,2012-05,56,57,37,50,54,49,33,31,49,62,45,61,57,57,46,24,66,36,67,45,71,76
101,2012-06,63,59,26,52,56,50,32,33,46,64,43,60,62,81,45,23,66,35,72,48,74,77
102,2012-07,57,61,27,52,56,52,31,34,51,68,48,59,60,61,48,23,70,38,78,51,75,83
103,2012-08,56,59,32,53,60,50,34,33,51,67,48,59,60,58,52,28,67,36,69,46,80,80
104,2012-09,55,55,32,48,54,48,34,32,50,62,47,57,53,52,50,24,66,40,66,44,97,84
105,2012-10,49,51,32,47,50,44,33,32,52,61,45,50,50,50,47,20,63,33,66,42,71,79
106,2012-11,45,51,31,46,48,44,32,38,60,57,49,53,54,51,50,21,65,35,72,48,77,81
107,2012-12,47,49,24,44,49,42,34,40,59,57,50,59,51,48,51,29,70,35,73,50,78,84
108,2013-01,53,57,27,50,51,48,32,33,50,61,53,53,54,52,65,27,65,52,73,45,68,80
109,2013-02,52,58,24,49,56,51,32,32,50,63,50,55,57,54,56,20,71,82,71,46,69,81
110,2013-03,54,59,23,48,54,50,31,30,48,64,49,53,54,52,48,21,66,38,69,45,66,77
111,2013-04,54,59,24,49,50,48,29,28,47,60,44,58,57,51,50,18,64,34,65,42,62,77
112,2013-05,49,53,23,47,53,46,29,29,48,58,43,59,57,49,49,20,63,33,62,42,63,77
113,2013-06,53,56,24,50,53,49,29,31,49,59,44,62,60,62,47,20,64,34,67,46,63,73
114,2013-07,56,61,37,53,55,47,28,30,50,60,46,63,63,58,51,21,66,38,72,49,66,76
115,2013-08,57,60,24,53,60,47,29,31,53,59,50,60,60,56,50,24,66,47,66,47,65,74
116,2013-09,50,52,23,49,52,44,29,28,49,51,44,51,54,51,49,21,61,38,62,45,66,72
117,2013-10,50,53,26,50,50,42,30,28,49,53,45,51,54,50,50,18,62,33,63,45,61,72
118,2013-11,43,46,22,45,47,40,30,34,56,47,51,56,53,47,53,19,59,36,64,47,61,71
119,2013-12,46,50,24,42,46,39,31,38,60,49,47,54,51,47,51,24,64,36,72,48,62,74
120,2014-01,48,56,24,46,49,42,29,30,52,50,49,54,54,51,59,23,58,64,70,41,54,66
121,2014-02,52,57,23,50,51,45,30,28,49,49,48,52,53,49,50,18,59,41,65,39,54,68
122,2014-03,49,57,23,49,52,43,28,27,45,48,44,51,52,47,46,18,61,52,63,38,52,67
123,2014-04,52,54,25,48,51,43,29,28,45,50,43,56,57,49,43,17,63,32,62,38,53,63
124,2014-05,47,55,22,47,50,41,26,25,44,44,41,56,54,52,42,17,58,32,63,36,50,63
125,2014-06,49,51,20,45,47,40,26,26,44,44,40,55,56,49,42,20,55,29,59,41,55,62
126,2014-07,50,57,22,48,50,42,27,25,42,47,44,52,54,51,45,20,56,32,63,39,57,62
127,2014-08,49,52,21,43,50,40,26,26,47,45,45,56,54,52,45,23,57,38,70,37,52,61
128,2014-09,46,53,20,43,49,37,27,25,43,42,44,48,51,46,44,19,55,29,57,34,74,70
129,2014-10,46,50,22,43,46,42,28,25,46,42,42,49,50,46,44,19,57,30,61,34,56,63
130,2014-11,43,45,20,37,43,38,26,28,52,39,46,50,50,43,47,17,57,30,60,37,56,58
131,2014-12,43,46,19,38,44,37,28,34,53,42,42,49,47,43,46,22,55,31,61,42,56,64
132,2015-01,45,49,19,42,43,36,24,25,45,42,43,44,46,45,48,20,53,40,59,36,52,57
133,2015-02,44,53,21,43,47,39,25,24,44,43,43,48,49,45,44,16,56,64,58,34,49,58
134,2015-03,46,54,20,42,47,39,26,23,43,42,40,47,48,42,41,16,52,31,54,31,47,57
135,2015-04,45,55,23,41,48,37,23,23,41,43,38,50,48,44,39,15,50,28,56,33,47,54
136,2015-05,43,48,19,39,43,33,22,20,39,38,35,50,48,42,37,15,49,27,54,30,43,50
137,2015-06,43,50,19,42,46,35,23,22,40,40,35,51,51,44,36,15,47,25,54,32,42,48
138,2015-07,47,54,19,43,50,36,22,23,42,40,39,52,52,45,38,16,49,27,54,32,41,49
139,2015-08,45,51,19,42,48,36,22,22,43,40,39,48,47,43,42,19,45,29,54,30,41,51
140,2015-09,42,48,20,38,45,33,23,21,40,36,39,45,47,40,41,16,47,27,53,29,43,51
141,2015-10,42,47,21,37,42,32,23,21,40,35,38,46,45,41,39,13,47,26,56,30,41,50
142,2015-11,37,45,19,35,41,31,23,24,49,34,41,46,47,43,42,15,49,26,57,35,42,48
143,2015-12,39,48,18,36,43,31,25,28,49,32,40,46,48,38,45,19,52,27,64,34,46,50
144,2016-01,52,62,27,48,56,44,27,28,58,39,57,62,61,53,63,21,62,54,76,39,48,58
145,2016-02,58,66,28,54,61,48,27,29,53,47,55,60,63,53,57,17,62,77,69,37,48,57
146,2016-03,59,67,27,52,61,45,27,28,51,50,54,63,63,54,54,16,61,40,64,39,46,54
147,2016-04,56,66,25,51,58,41,26,26,52,45,51,65,66,55,54,16,60,35,62,35,44,55
148,2016-05,57,66,22,52,63,42,25,26,54,42,51,70,68,59,51,17,58,36,64,36,47,54
149,2016-06,59,68,23,51,56,44,26,26,53,43,48,68,66,58,50,18,55,33,66,37,47,56
150,2016-07,62,66,24,55,64,45,25,28,58,48,53,65,69,61,55,21,58,37,67,37,51,56
151,2016-08,58,71,25,58,64,45,27,27,55,47,54,67,68,57,57,24,58,37,64,37,52,59
152,2016-09,59,67,26,55,62,43,29,28,56,42,53,69,64,57,55,20,62,39,63,35,59,65
153,2016-10,55,64,23,51,59,41,30,27,54,41,49,60,65,56,55,17,59,33,66,35,52,58
154,2016-11,49,62,26,48,54,40,28,33,67,41,59,67,68,52,61,17,58,34,67,37,50,54
155,2016-12,56,62,21,50,58,40,29,36,70,44,57,69,66,52,68,23,63,36,76,42,57,56
156,2017-01,54,66,30,54,58,42,28,28,59,43,59,64,65,55,63,20,59,51,69,38,51,57
157,2017-02,57,72,28,55,64,45,29,27,57,42,59,60,65,58,60,17,63,78,65,38,50,58
158,2017-03,59,72,28,58,63,44,27,28,57,43,53,67,67,60,58,17,60,39,70,37,49,55
159,2017-04,59,70,27,55,59,45,27,27,58,43,53,73,72,58,59,17,60,34,65,34,49,54
160,2017-05,60,72,29,60,61,44,26,26,62,45,54,80,74,60,62,17,58,35,66,34,49,54
161,2017-06,65,72,34,61,65,46,27,29,60,47,55,73,75,65,60,17,58,36,67,35,52,55
162,2017-07,64,71,28,59,66,44,27,27,62,43,57,75,75,61,58,18,58,37,66,33,49,49
163,2017-08,61,73,27,61,62,44,26,28,57,43,56,72,70,63,62,21,56,34,62,33,49,55
164,2017-09,58,70,26,58,62,44,29,29,60,44,57,69,72,62,63,19,59,39,64,34,63,57
165,2017-10,57,72,28,56,61,44,28,28,60,41,57,69,72,60,66,17,61,45,68,34,53,57
166,2017-11,54,65,24,50,57,43,28,32,74,40,61,74,70,53,74,17,56,45,64,38,54,55
167,2017-12,54,65,22,53,57,40,28,33,69,38,59,70,67,50,67,22,59,36,71,39,52,56
168,2018-01,54,68,27,54,55,43,28,29,62,43,60,65,68,55,66,20,58,63,67,38,48,50
169,2018-02,56,71,27,55,59,44,28,25,59,45,58,65,69,55,62,17,55,39,62,31,45,51
170,2018-03,59,74,26,55,60,44,26,26,57,42,58,69,67,55,62,16,54,52,63,33,47,51
171,2018-04,57,74,26,55,61,43,26,25,55,41,55,70,71,55,59,15,54,35,59,32,43,49
172,2018-05,58,73,26,54,62,42,26,24,57,42,53,77,76,54,58,16,57,36,62,31,45,48
173,2018-06,59,69,27,55,61,42,25,26,59,41,50,74,74,57,58,16,54,34,60,34,42,47
174,2018-07,60,70,26,54,61,42,24,26,61,40,54,74,74,56,57,16,55,36,66,32,43,44
175,2018-08,58,70,27,55,61,42,24,26,57,39,54,67,72,54,56,19,54,35,57,30,44,46
176,2018-09,54,66,25,52,56,41,26,24,57,36,56,64,66,50,58,17,53,40,58,31,47,49
177,2018-10,55,63,30,53,55,40,26,25,55,37,52,63,68,55,60,15,53,31,64,29,44,49
178,2018-11,54,65,46,49,55,40,27,29,78,37,63,70,66,50,66,17,52,32,61,35,48,48
179,2018-12,51,62,27,49,56,41,25,33,73,37,57,67,64,49,65,22,56,35,67,36,48,47
180,2019-01,52,64,31,54,56,41,26,27,62,39,58,65,70,53,69,18,58,48,62,34,43,46
181,2019-02,54,76,31,56,57,43,25,26,59,44,56,66,67,52,58,16,54,68,57,32,41,46
182,2019-03,57,74,28,56,61,44,25,25,60,45,59,70,71,53,60,17,55,37,58,30,42,45
183,2019-04,58,72,23,53,60,43,24,24,57,43,54,76,73,55,55,16,53,33,63,31,40,42
184,2019-05,57,67,30,54,58,41,24,24,56,44,52,74,72,56,57,19,51,33,57,30,41,45
185,2019-06,59,68,27,55,60,42,24,24,57,44,51,76,80,55,61,16,51,34,62,33,39,44
186,2019-07,60,70,27,59,61,40,24,25,61,47,55,75,79,59,59,17,55,35,62,30,41,42
187,2019-08,63,77,27,60,74,49,25,24,62,48,57,73,75,60,66,21,53,35,61,29,41,47
188,2019-09,72,71,62,58,100,44,27,25,59,46,57,69,74,54,66,18,52,39,59,32,49,48
189,2019-10,54,67,76,54,57,41,25,23,57,43,55,66,71,54,62,16,53,33,63,31,46,46
190,2019-11,53,65,28,52,56,39,26,28,74,42,62,72,72,52,68,15,52,37,65,33,44,46
191,2019-12,50,64,24,51,53,40,25,29,72,39,57,69,68,51,70,20,55,35,73,34,47,44
192,2020-01,51,69,25,55,55,42,24,24,65,42,60,69,72,52,68,18,50,57,65,31,40,44
193,2020-02,53,69,28,52,58,43,24,23,61,45,57,66,69,56,62,16,52,60,58,31,41,42
194,2020-03,49,64,44,50,51,36,26,25,64,67,52,68,69,54,55,15,50,33,60,38,39,45
195,2020-04,49,63,33,45,50,35,29,28,77,54,63,87,87,44,64,15,55,34,67,45,42,47
196,2020-05,58,67,30,49,57,40,27,27,82,48,73,99,100,51,76,17,53,35,65,40,42,47
197,2020-06,62,72,28,51,61,43,26,26,75,51,64,92,99,56,70,18,49,36,57,36,40,42
198,2020-07,64,74,27,55,65,44,25,28,76,55,72,90,94,61,66,18,50,37,60,36,41,44
199,2020-08,61,69,28,51,60,41,26,27,76,49,70,81,90,57,71,19,49,35,55,34,47,45
200,2020-09,57,65,26,48,57,38,28,27,71,43,69,81,80,55,72,16,50,36,58,34,43,47
201,2020-10,50,61,25,47,55,36,24,24,69,41,61,72,76,55,66,14,45,31,58,32,41,41
202,2020-11,47,55,23,41,50,35,23,28,80,39,66,71,76,50,65,14,44,31,55,34,39,39
203,2020-12,50,59,23,45,52,35,25,29,81,39,65,71,75,49,68,19,47,32,60,35,40,42
204,2021-01,52,61,30,48,55,37,23,25,75,44,67,75,77,48,71,16,48,33,57,33,36,40
205,2021-02,51,65,28,49,54,39,22,23,71,44,64,76,78,55,63,15,46,35,54,31,37,38
206,2021-03,59,67,27,51,60,42,22,22,67,46,64,79,79,55,63,15,45,46,51,30,35,38
207,2021-04,57,65,27,50,60,40,25,26,64,43,60,82,86,54,60,15,44,42,51,31,32,38
208,2021-05,57,65,26,50,61,42,22,21,64,40,59,80,82,56,60,15,44,34,54,29,34,38
209,2021-06,56,64,26,53,60,40,21,22,66,39,55,81,85,60,56,15,46,33,51,28,36,37
210,2021-07,59,65,27,52,61,40,21,23,67,40,57,79,81,57,61,17,46,35,59,31,37,36
211,2021-08,57,63,26,48,60,38,22,22,68,38,58,71,77,57,63,18,45,34,52,30,36,38
212,2021-09,52,59,26,50,57,38,23,21,63,38,57,74,75,58,65,16,46,38,51,28,41,40
213,2021-10,53,60,25,47,54,38,22,22,67,36,57,70,72,55,62,15,45,35,58,29,37,40
214,2021-11,50,57,26,44,54,37,23,24,83,37,63,72,80,52,64,15,46,37,54,34,37,38
215,2021-12,53,59,24,47,58,36,24,27,78,35,59,71,72,53,66,19,48,38,62,36,42,40
216,2022-01,46,59,24,42,49,32,21,22,69,35,58,66,69,46,58,18,44,38,55,31,32,37
217,2022-02,48,60,25,44,54,35,21,21,63,35,53,64,67,44,54,15,42,38,51,28,32,44
218,2022-03,48,60,23,44,52,39,21,20,59,36,50,64,68,46,52,15,42,47,50,27,31,41
219,2022-04,51,60,24,43,53,34,23,20,63,38,48,69,69,49,55,17,46,41,53,28,31,41
220,2022-05,49,53,23,42,49,33,22,21,57,33,48,72,68,48,54,14,44,33,57,28,31,39
221,2022-06,50,55,23,44,53,37,21,21,61,36,47,73,71,48,50,15,43,34,57,28,31,38
222,2022-07,52,55,22,45,53,35,21,21,64,35,51,69,71,49,53,15,45,35,56,28,32,38
223,2022-08,52,56,24,48,59,35,22,22,63,34,51,69,71,50,58,18,45,35,54,27,32,40
224,2022-09,45,52,22,44,49,32,22,20,59,31,49,65,65,45,53,14,43,35,53,28,36,41
225,2022-10,47,51,22,42,48,33,21,20,57,32,50,62,66,43,54,14,43,35,59,28,31,37
226,2022-11,42,47,20,42,45,30,21,23,68,29,52,63,61,48,54,13,43,33,48,30,30,37
227,2022-12,44,50,20,40,48,30,23,24,71,29,49,62,64,45,57,16,44,37,55,31,34,38
228,2023-01,45,57,21,46,50,29,22,21,65,32,51,62,63,45,55,16,45,44,56,29,31,39
229,2023-02,48,58,23,47,52,34,23,21,62,34,50,64,65,45,52,15,44,53,55,29,30,37
230,2023-03,45,58,23,45,51,31,22,19,60,35,47,62,63,47,48,14,43,47,50,27,29,36
231,2023-04,49,56,22,45,51,31,21,19,59,32,44,66,66,45,47,14,41,34,52,29,28,33
232,2023-05,46,54,21,44,49,29,21,19,56,32,45,67,67,49,48,13,42,35,51,27,28,34
233,2023-06,50,58,22,48,51,33,22,20,58,33,45,69,69,48,51,14,44,35,52,28,31,37